Respondent_ID,Gender,Age_Group,I get a better understanding of the story when reading news in print rather than online,"I trust news stories more when they are in printed newspapers, rather than when they are online","In the future, I intend to read more news online",I would be concerned if printed newspapers were to disappear,I spend too much time on electronic devices,I suffer from a digital overload,"I am concerned that the overuse of electronic devices could be damaging to my health (eyestrain, sleep deprivation, headaches)","I am increasingly concerned that my personal information held electronically is at risk of being hacked, stolen, lost or damaged","I think children and students learn more when reading printed, rather than digital, books and course materials"
1,Male,65+,4,5,3,4,4,4,3,4,3
2,Male,35-44,5,3,3,5,4,4,5,2,4
3,Female,45-54,3,2,3,5,4,2,4,4,5
4,Female,35-44,5,4,4,2,5,3,4,4,2
5,Male,45-54,2,5,4,2,3,3,3,4,1
6,Female,25-34,4,2,4,4,2,5,2,4,4
7,Female,65+,3,3,3,4,2,1,1,4,2
8,Male,55-64,4,3,3,5,3,4,3,5,3
9,Female,55-64,4,3,5,4,2,2,3,4,4
10,Male,65+,3,3,4,5,4,3,4,5,2
11,Female,18-24,4,5,2,1,4,3,5,5,5
12,Male,45-54,4,4,3,5,3,3,4,2,1
13,Female,35-44,5,3,1,3,5,4,4,4,3
14,Male,45-54,3,5,3,3,1,1,3,4,4
15,Female,55-64,3,4,4,3,3,3,3,1,3
16,Female,55-64,2,2,4,4,2,4,4,4,4
17,Male,55-64,1,3,1,2,2,3,2,4,3
18,Female,65+,3,3,3,5,4,2,4,3,3
19,Female,55-64,1,4,4,3,5,1,4,3,3
20,Female,35-44,5,3,4,1,5,4,2,2,5
21,Female,55-64,4,3,3,4,2,1,4,5,3
22,Female,55-64,3,5,2,5,3,1,3,3,4
23,Female,55-64,3,2,3,4,3,2,4,5,3
24,Female,55-64,4,3,4,4,2,3,4,3,3
25,Female,25-34,3,2,3,4,4,5,5,3,5
26,Female,65+,1,3,3,3,2,2,1,3,4
27,Female,35-44,3,3,3,4,3,1,4,2,4
28,Female,55-64,2,2,4,4,1,2,4,2,3
29,Female,45-54,5,2,4,1,4,4,3,3,2
30,Male,45-54,3,2,1,3,2,3,3,4,3
31,Male,35-44,2,4,2,3,5,4,4,4,3
32,Female,25-34,3,2,3,3,5,5,1,2,5
33,Male,45-54,4,1,4,4,4,1,4,5,3
34,Female,35-44,4,2,3,4,5,2,4,5,2
35,Male,25-34,3,3,3,3,3,5,4,5,3
36,Female,18-24,4,2,2,4,5,4,2,5,5
37,Female,65+,3,5,3,4,2,2,3,4,1
38,Female,25-34,2,1,3,4,2,4,2,4,4
39,Male,45-54,2,4,2,3,3,3,4,4,5
40,Female,45-54,4,3,3,3,4,4,5,3,5
41,Female,55-64,3,3,3,5,3,2,3,4,4
42,Male,35-44,3,2,4,4,3,4,4,5,4
43,Female,35-44,4,5,4,4,4,1,4,3,5
44,Female,55-64,5,3,4,4,3,1,3,4,3
45,Female,35-44,3,2,3,4,4,1,2,2,2
46,Female,45-54,5,4,4,5,4,5,4,2,4
47,Male,18-24,5,5,4,4,4,2,4,4,5
48,Female,45-54,2,3,4,4,3,4,4,4,3
49,Female,25-34,4,1,3,4,1,4,5,3,2
50,Female,18-24,3,3,4,3,4,4,4,3,5
51,Male,25-34,4,4,4,5,4,4,4,4,2
