Respondent_ID,Gender,Age_Group,Print_Comprehension,Print_Trust,Future_Online_Intent,Print_Disappearance_Concern,Digital_Fatigue,Digital_Overload,Health_Concern,Privacy_Concern,Student_Print_Preference,Cluster
1,Male,65+,4,5,3,4,4,4,3,4,3,0
2,Male,35-44,5,3,3,5,4,4,5,2,4,0
3,Female,45-54,3,2,3,5,4,2,4,4,5,1
4,Female,35-44,5,4,4,2,5,3,4,4,2,0
5,Male,45-54,2,5,4,2,3,3,3,4,1,2
6,Female,25-34,4,2,4,4,2,5,2,4,4,1
7,Female,65+,3,3,3,4,2,1,1,4,2,2
8,Male,55-64,4,3,3,5,3,4,3,5,3,2
9,Female,55-64,4,3,5,4,2,2,3,4,4,1
10,Male,65+,3,3,4,5,4,3,4,5,2,0
11,Female,18-24,4,5,2,1,4,3,5,5,5,0
12,Male,45-54,4,4,3,5,3,3,4,2,1,2
13,Female,35-44,5,3,1,3,5,4,4,4,3,2
14,Male,45-54,3,5,3,3,1,1,3,4,4,1
15,Female,55-64,3,4,4,3,3,3,3,1,3,0
16,Female,55-64,2,2,4,4,2,4,4,4,4,1
17,Male,55-64,1,3,1,2,2,3,2,4,3,2
18,Female,65+,3,3,3,5,4,2,4,3,3,2
19,Female,55-64,1,4,4,3,5,1,4,3,3,0
20,Female,35-44,5,3,4,1,5,4,2,2,5,0
21,Female,55-64,4,3,3,4,2,1,4,5,3,1
22,Female,55-64,3,5,2,5,3,1,3,3,4,2
23,Female,55-64,3,2,3,4,3,2,4,5,3,1
24,Female,55-64,4,3,4,4,2,3,4,3,3,1
25,Female,25-34,3,2,3,4,4,5,5,3,5,0
26,Female,65+,1,3,3,3,2,2,1,3,4,1
27,Female,35-44,3,3,3,4,3,1,4,2,4,1
28,Female,55-64,2,2,4,4,1,2,4,2,3,1
29,Female,45-54,5,2,4,1,4,4,3,3,2,0
30,Male,45-54,3,2,1,3,2,3,3,4,3,2
31,Male,35-44,2,4,2,3,5,4,4,4,3,0
32,Female,25-34,3,2,3,3,5,5,1,2,5,0
33,Male,45-54,4,1,4,4,4,1,4,5,3,1
34,Female,35-44,4,2,3,4,5,2,4,5,2,2
35,Male,25-34,3,3,3,3,3,5,4,5,3,0
36,Female,18-24,4,2,2,4,5,4,2,5,5,2
37,Female,65+,3,5,3,4,2,2,3,4,1,2
38,Female,25-34,2,1,3,4,2,4,2,4,4,1
39,Male,45-54,2,4,2,3,3,3,4,4,5,1
40,Female,45-54,4,3,3,3,4,4,5,3,5,0
41,Female,55-64,3,3,3,5,3,2,3,4,4,1
42,Male,35-44,3,2,4,4,3,4,4,5,4,1
43,Female,35-44,4,5,4,4,4,1,4,3,5,1
44,Female,55-64,5,3,4,4,3,1,3,4,3,1
45,Female,35-44,3,2,3,4,4,1,2,2,2,2
46,Female,45-54,5,4,4,5,4,5,4,2,4,0
47,Male,18-24,5,5,4,4,4,2,4,4,5,0
48,Female,45-54,2,3,4,4,3,4,4,4,3,0
49,Female,25-34,4,1,3,4,1,4,5,3,2,2
50,Female,18-24,3,3,4,3,4,4,4,3,5,0
51,Male,25-34,4,4,4,5,4,4,4,4,2,0
52,Male,45-54,5,3,3,2,1,1,4,3,5,1
53,Male,35-44,3,3,5,3,5,2,5,4,4,0
54,Male,45-54,3,3,3,4,1,3,3,5,5,1
55,Female,18-24,4,3,4,3,4,2,5,3,5,0
56,Male,25-34,1,5,2,1,3,5,2,4,1,2
57,Male,45-54,3,4,5,3,4,3,3,4,2,0
58,Female,25-34,2,5,3,1,4,4,4,2,4,0
59,Male,65+,3,4,3,5,1,3,3,3,3,2
60,Female,45-54,3,3,4,1,4,1,4,3,3,0
61,Female,25-34,1,3,3,5,4,2,1,2,2,2
62,Male,55-64,1,3,1,5,3,2,2,4,3,2
63,Male,35-44,1,3,3,4,3,4,4,3,4,1
64,Female,45-54,2,4,4,1,3,4,2,2,5,0
65,Female,35-44,5,3,3,5,2,2,3,4,4,1
66,Female,45-54,1,3,3,2,3,4,4,2,3,0
67,Male,55-64,2,2,5,5,2,2,4,4,4,1
68,Female,55-64,5,3,2,4,2,1,3,3,2,2
